place,date,climate/rainfall,climate/vegetation_cover_(ndvi),climate/price_of_water,population_movement/displacement_(arrivals),nutrition/new_admissions_(gam),market/maize_prices,market/sorghum_prices,market/local_goat_prices,market/wage_labor,market/tot_(wage_to_cereals),market/tot_(goat_to_cereals),market/red_rice_prices,market/cost_of_minimum_basket_(cmb),Displacements
woqooyi_galbeed/hargeysa,Jan-2016,0.17,0.0,11000.0,260.0,457.0,4000.0,3500.0,365000.0,50000.0,10.0,73.0,5000.0,1021371.25,273
woqooyi_galbeed/hargeysa,Feb-2016,0.13,0.0,12000.0,260.0,597.0,4000.0,3500.0,272000.0,50000.0,10.0,54.0,5000.0,1045462.5,269
woqooyi_galbeed/hargeysa,Mar-2016,0.02,0.0,12000.0,316.0,493.0,5000.0,4000.0,250000.0,50000.0,10.0,50.0,5000.0,1090698.75,373
woqooyi_galbeed/hargeysa,Apr-2016,78.67,0.0,12000.0,246.0,183.0,5000.0,4000.0,365000.0,50000.0,10.0,73.0,5000.0,1093725.0,278
woqooyi_galbeed/hargeysa,May-2016,31.62,0.0,9000.0,298.0,,5000.0,4000.0,320000.0,50000.0,10.0,64.0,5000.0,1096237.5,307
woqooyi_galbeed/hargeysa,Jun-2016,3.58,0.0,9000.0,224.0,168.0,4000.0,4000.0,300000.0,50000.0,10.0,60.0,5000.0,1034097.5,210
woqooyi_galbeed/hargeysa,Jul-2016,6.06,0.0,9000.0,288.0,,4000.0,4000.0,307500.0,50000.0,10.0,62.0,5000.0,1069087.5,267
woqooyi_galbeed/hargeysa,Aug-2016,5.04,0.0,9000.0,230.0,526.0,4000.0,4000.0,342500.0,50000.0,10.0,69.0,5000.0,1072325.0,252
woqooyi_galbeed/hargeysa,Sep-2016,2.01,0.0,9000.0,160.0,1191.0,4000.0,4000.0,330000.0,50000.0,10.0,66.0,5000.0,1071112.5,176
woqooyi_galbeed/hargeysa,Oct-2016,20.34,0.0,9000.0,182.0,473.0,4000.0,4000.0,332500.0,50000.0,10.0,67.0,5000.0,1090302.5,174
woqooyi_galbeed/hargeysa,Nov-2016,0.77,0.0,9000.0,254.0,340.0,4000.0,4000.0,365000.0,50000.0,10.0,73.0,5000.0,1093177.5,199
woqooyi_galbeed/hargeysa,Dec-2016,0.0,0.0,9000.0,200.0,2084.0,4000.0,4000.0,300000.0,50000.0,10.0,60.0,5000.0,1149580.0,133
woqooyi_galbeed/hargeysa,Jan-2017,0.0,0.0,10000.0,7570.0,1058.0,4000.0,4000.0,345000.0,50000.0,10.0,69.0,5000.0,1099415.0,7440
woqooyi_galbeed/hargeysa,Feb-2017,0.01,0.0,12000.0,1242.0,818.0,4000.0,4500.0,382500.0,50000.0,10.0,77.0,5000.0,1257017.5,709
woqooyi_galbeed/hargeysa,Mar-2017,4.99,0.0,12000.0,2097.0,3701.0,4000.0,4500.0,382500.0,50000.0,10.0,77.0,5000.0,1265625.0,1760
woqooyi_galbeed/hargeysa,Apr-2017,18.54,0.0,12000.0,3023.0,2746.0,4000.0,4500.0,450000.0,50000.0,10.0,90.0,5000.0,1288852.5,673
woqooyi_galbeed/hargeysa,May-2017,38.2,0.0,12000.0,1315.0,1933.0,4000.0,4500.0,472000.0,50000.0,10.0,94.0,5000.0,1235577.5,1195
woqooyi_galbeed/hargeysa,Jun-2017,4.32,0.0,12000.0,603.0,1924.0,5000.0,5000.0,415000.0,50000.0,10.0,83.0,5000.0,1345740.0,360
woqooyi_galbeed/hargeysa,Jul-2017,2.08,0.0,12000.0,169.0,2402.0,5000.0,5000.0,400000.0,50000.0,10.0,80.0,5000.0,1338277.5,169
woqooyi_galbeed/hargeysa,Aug-2017,32.81,0.0,12000.0,2226.0,4148.0,5000.0,5000.0,412500.0,50000.0,10.0,83.0,5000.0,1304727.5,535
woqooyi_galbeed/hargeysa,Sep-2017,37.22,0.0,11000.0,548.0,1015.0,5000.0,5000.0,450000.0,50000.0,10.0,90.0,5000.0,1359387.5,548
woqooyi_galbeed/hargeysa,Oct-2017,28.44,0.0,11000.0,479.0,1362.0,7000.0,5000.0,442000.0,50000.0,10.0,88.0,5000.0,1477330.0,471
woqooyi_galbeed/hargeysa,Nov-2017,0.05,0.0,11000.0,422.0,1092.0,7000.0,6000.0,437500.0,50000.0,10.0,88.0,5000.0,1366000.0,422
woqooyi_galbeed/hargeysa,Dec-2017,0.0,0.0,11000.0,494.0,589.0,8000.0,5500.0,392500.0,55000.0,9.0,65.0,6000.0,1340142.5,378
woqooyi_galbeed/hargeysa,Jan-2018,0.12,0.0,11000.0,663.0,3377.0,6000.0,5000.0,460000.0,70000.0,14.0,92.0,5000.0,1366665.0,475
woqooyi_galbeed/hargeysa,Feb-2018,0.18,0.0,11000.0,1316.0,847.0,6000.0,5000.0,500000.0,70000.0,14.0,100.0,5000.0,1379165.0,391
woqooyi_galbeed/hargeysa,Mar-2018,4.0,0.0,11000.0,586.0,778.0,5000.0,4000.0,525000.0,70000.0,14.0,105.0,5000.0,1383017.5,460
woqooyi_galbeed/hargeysa,Apr-2018,220.33,0.0,11000.0,460.0,444.0,5000.0,4000.0,500000.0,70000.0,14.0,100.0,5000.0,1412612.5,460
woqooyi_galbeed/hargeysa,May-2018,171.9,0.0,11000.0,1545.0,,5000.0,3500.0,527500.0,70000.0,12.0,92.0,5750.0,1405142.5,266
woqooyi_galbeed/hargeysa,Jun-2018,44.85,0.0,11000.0,830.0,651.0,5000.0,4000.0,512500.0,70000.0,14.0,103.0,5000.0,1404680.0,662
woqooyi_galbeed/hargeysa,Jul-2018,21.0,0.0,11000.0,154.0,,5000.0,4000.0,531000.0,70000.0,14.0,106.0,5000.0,1403512.5,161
woqooyi_galbeed/hargeysa,Aug-2018,95.75,0.0,11000.0,188.0,715.0,5000.0,4000.0,490000.0,70000.0,12.0,82.0,6000.0,1364150.0,188
woqooyi_galbeed/hargeysa,Sep-2018,87.45,0.0,11000.0,352.0,1343.0,5000.0,4000.0,500000.0,70000.0,12.0,83.0,6000.0,1293250.0,352
woqooyi_galbeed/hargeysa,Oct-2018,74.3,0.0,11000.0,288.0,751.0,5000.0,4000.0,520000.0,70000.0,14.0,104.0,5000.0,1274852.5,321
woqooyi_galbeed/hargeysa,Nov-2018,6.5,0.0,11000.0,193.0,331.0,5000.0,4000.0,495000.0,70000.0,14.0,99.0,5000.0,1266625.0,193
woqooyi_galbeed/hargeysa,Dec-2018,0.01,0.0,11000.0,341.0,1174.0,5000.0,4000.0,500000.0,70000.0,14.0,100.0,5000.0,1255187.5,341
woqooyi_galbeed/hargeysa,Jan-2019,0.0,0.15,11000.0,323.0,598.0,5000.0,4000.0,450000.0,70000.0,14.0,90.0,5000.0,1278625.0,327
woqooyi_galbeed/hargeysa,Feb-2019,0.55,0.14,11000.0,242.0,641.0,5000.0,4000.0,456250.0,70000.0,14.0,91.0,5000.0,1294750.0,242
woqooyi_galbeed/hargeysa,Mar-2019,2.28,0.14,11000.0,215.0,874.0,5000.0,4000.0,550000.0,70000.0,14.0,110.0,5000.0,1286467.5,220
woqooyi_galbeed/hargeysa,Apr-2019,37.21,0.14,11000.0,136.0,446.0,5000.0,3500.0,515000.0,70000.0,14.0,103.0,5000.0,1258102.5,136
woqooyi_galbeed/hargeysa,May-2019,66.45,0.15,11000.0,127.0,817.0,5000.0,4375.0,482500.0,70000.0,13.0,90.0,5375.0,1291458.75,127
woqooyi_galbeed/hargeysa,Jun-2019,22.08,0.18,11000.0,99.0,330.0,5000.0,4250.0,487500.0,80000.0,16.0,98.0,5000.0,1256687.5,99
woqooyi_galbeed/hargeysa,Jul-2019,29.51,0.17,11000.0,184.0,390.0,5100.0,4800.0,445000.0,69700.0,13.0,84.0,5300.0,1310415.0,195
